step,x,y,z
0,-4.0,0.9026566743850708,1.5
1,-4.0,0.9026566743850708,1.5
2,-4.0,0.9026566743850708,1.5
3,-4.0,0.9026566743850708,1.5
4,-4.0,0.9026566743850708,1.5
5,-4.0,0.9026566743850708,1.75
6,-4.0,0.9026566743850708,2.0
7,-4.0,0.9026566743850708,2.25
8,-4.0,0.9026566743850708,2.5
9,-4.0,0.9026566743850708,2.75
10,-4.0,0.9026566743850708,3.0
11,-4.0,0.9026566743850708,3.25
12,-4.0,0.9026566743850708,3.5
13,-4.0,0.9026566743850708,3.75
14,-4.0,0.9026566743850708,4.0
15,-4.0,0.9026566743850708,4.0
