step,x,y,z
0,-0.5,0.9010459184646606,1.75
1,-0.5,0.9010459184646606,1.75
2,-0.5,0.9010459184646606,1.75
3,-0.5,0.9010459184646606,1.75
4,-0.5,0.9010459184646606,1.75
5,-0.75,0.9010459184646606,1.75
6,-0.75,0.9010459184646606,1.75
7,-0.75,0.9010459184646606,2.0
8,-0.75,0.9010459184646606,2.25
9,-0.75,0.9010459184646606,2.5
10,-0.75,0.9010459184646606,2.75
11,-0.75,0.9010459184646606,3.0
12,-0.75,0.9010459184646606,3.25
13,-0.75,0.9010459184646606,3.25
14,-0.75,0.9010459184646606,3.25
