step,x,y,z
0,-0.5,0.9010459184646606,1.75
1,-0.5,0.9010459184646606,1.75
2,-0.5,0.9010459184646606,1.75
3,-0.5,0.9010459184646606,1.75
4,-0.5,0.9010459184646606,1.75
5,-0.5,0.9010459184646606,1.75
6,-0.5,0.9010459184646606,1.5
7,-0.5,0.9010459184646606,1.5
8,-0.5,0.9010459184646606,1.5
9,-0.5,0.9010459184646606,1.5
10,-0.5,0.9010459184646606,1.75
11,-0.5,0.9010459184646606,2.0
12,-0.5,0.9010459184646606,2.25
13,-0.5,0.9010459184646606,2.5
14,-0.5,0.9010459184646606,2.75
15,-0.5,0.9010459184646606,2.75
16,-0.25,0.9010459184646606,2.75
17,-0.25,0.9010459184646606,2.75
18,-0.25,0.9010459184646606,2.75
19,-0.25,0.9010459184646606,2.75
