step,x,y,z
0,-3.0,0.9070531129837036,2.75
1,-3.0,0.9070531129837036,2.75
2,-3.0,0.9070531129837036,2.75
3,-3.0,0.9070531129837036,2.75
4,-3.0,0.9070531129837036,2.75
5,-3.0,0.9070531129837036,2.75
6,-3.0,0.9070531129837036,2.5
7,-3.0,0.9070531129837036,2.5
8,-2.75,0.9070531129837036,2.5
9,-2.75,0.9070531129837036,2.5
10,-2.75,0.9070531129837036,2.25
11,-2.75,0.9070531129837036,2.0
12,-2.75,0.9070531129837036,1.75
13,-2.75,0.9070531129837036,1.5
14,-2.75,0.9070531129837036,1.25
15,-2.75,0.9070531129837036,1.0
16,-2.75,0.9070531129837036,1.0
17,-2.5,0.9070531129837036,1.0
18,-2.25,0.9070531129837036,1.0
19,-2.0,0.9070531129837036,1.0
20,-1.75,0.9070531129837036,1.0
21,-1.5,0.9070531129837036,1.0
22,-1.25,0.9070531129837036,1.0
23,-1.0,0.9070531129837036,1.0
24,-0.75,0.9070531129837036,1.0
25,-0.5,0.9070531129837036,1.0
26,-0.25,0.9070531129837036,1.0
27,-0.25,0.9070531129837036,1.0
28,-0.25,0.9070531129837036,1.25
29,-0.25,0.9070531129837036,1.5
30,-0.25,0.9070531129837036,1.75
31,-0.25,0.9070531129837036,2.0
32,-0.25,0.9070531129837036,2.25
33,-0.25,0.9070531129837036,2.5
34,-0.25,0.9070531129837036,2.5
35,-0.25,0.9070531129837036,2.5
